Love 	
Krobus Icon.png Krobus
Like 	
Harvey Icon.png Harvey
   Leah Icon.png Leah
   Linus Icon.png Linus
Neutral 	
Demetrius Icon.png Demetrius
   Emily Icon.png Emily
   Kent Icon.png Kent
   Maru Icon.png Maru
   Penny Icon.png Penny
   Sandy Icon.png Sandy
Dislike 	
Abigail Icon.png Abigail
   Alex Icon.png Alex
   Caroline Icon.png Caroline
   Clint Icon.png Clint
   Dwarf Icon.png Dwarf
   Elliott Icon.png Elliott
   Evelyn Icon.png Evelyn
   George Icon.png George
   Gus Icon.png Gus
   Jodi Icon.png Jodi
   Lewis Icon.png Lewis
   Marnie Icon.png Marnie
   Pam Icon.png Pam
   Pierre Icon.png Pierre
   Robin Icon.png Robin
   Sam Icon.png Sam
   Sebastian Icon.png Sebastian
   Shane Icon.png Shane
   Willy Icon.png Willy
   Wizard Icon.png Wizard
Hate 	
Haley Icon.png Haley
   Jas Icon.png Jas
   Vincent Icon.png Vincent
