Like 	
Alex Icon.png Alex
   Clint Icon.png Clint
   Demetrius Icon.png Demetrius
   Dwarf Icon.png Dwarf
   Emily Icon.png Emily
   Evelyn Icon.png Evelyn
   George Icon.png George
   Gus Icon.png Gus
   Harvey Icon.png Harvey
   Jodi Icon.png Jodi
   Kent Icon.png Kent
   Krobus Icon.png Krobus
   Leah Icon.png Leah
   Lewis Icon.png Lewis
   Linus Icon.png Linus
   Marnie Icon.png Marnie
   Maru Icon.png Maru
   Pam Icon.png Pam
   Penny Icon.png Penny
   Pierre Icon.png Pierre
   Robin Icon.png Robin
   Sandy Icon.png Sandy
   Sebastian Icon.png Sebastian
   Shane Icon.png Shane
   Willy Icon.png Willy
   Wizard Icon.png Wizard
Dislike 	
Abigail Icon.png Abigail
   Caroline Icon.png Caroline
   Haley Icon.png Haley
   Jas Icon.png Jas
   Sam Icon.png Sam
   Vincent Icon.png Vincent
Hate 	
Elliott Icon.png Elliott
