Love 	
Penny Icon.png Penny
Like 	
Demetrius Icon.png Demetrius
   Elliott Icon.png Elliott
   Harvey Icon.png Harvey
   Jodi Icon.png Jodi
   Kent Icon.png Kent
   Leah Icon.png Leah
   Linus Icon.png Linus
   Pam Icon.png Pam
   Robin Icon.png Robin
   Sandy Icon.png Sandy
   Shane Icon.png Shane
Neutral 	
Alex Icon.png Alex
   Caroline Icon.png Caroline
   Clint Icon.png Clint
   Dwarf Icon.png Dwarf
   Emily Icon.png Emily
   Evelyn Icon.png Evelyn
   George Icon.png George
   Gus Icon.png Gus
   Krobus Icon.png Krobus
   Lewis Icon.png Lewis
   Marnie Icon.png Marnie
   Maru Icon.png Maru
   Pierre Icon.png Pierre
   Sam Icon.png Sam
   Sebastian Icon.png Sebastian
   Willy Icon.png Willy
   Wizard Icon.png Wizard
Dislike 	
Abigail Icon.png Abigail
   Haley Icon.png Haley
   Jas Icon.png Jas
   Vincent Icon.png Vincent
