Food: Salmonberry

Love
Like 	
 Demetrius Icon.png Demetrius
 Jodi Icon.png Jodi
 Kent Icon.png Kent
 Leah Icon.png Leah
 Linus Icon.png Linus
 Pam Icon.png Pam
 Robin Icon.png Robin
 Sandy Icon.png Sandy
 Shane Icon.png Shane
Neutral
Dislike 	
 Abigail Icon.png Abigail
 Alex Icon.png Alex
 Clint Icon.png Clint
 Dwarf Icon.png Dwarf
 Emily Icon.png Emily
 George Icon.png George
 Gus Icon.png Gus
 Haley Icon.png Haley
 Jas Icon.png Jas
 Krobus Icon.png Krobus
 Lewis Icon.png Lewis
 Marnie Icon.png Marnie
 Maru Icon.png Maru
 Penny Icon.png Penny
 Pierre Icon.png Pierre
 Sam Icon.png Sam
 Sebastian Icon.png Sebastian
 Vincent Icon.png Vincent
 Willy Icon.png Willy
 Wizard Icon.png Wizard
Hate 	
 Caroline Icon.png Caroline
 Elliott Icon.png Elliott
 Evelyn Icon.png Evelyn
 Harvey Icon.png Harvey
