Love 	
Sandy Icon.png Sandy
Like 	
Caroline Icon.png Caroline
   Emily Icon.png Emily
   Evelyn Icon.png Evelyn
   George Icon.png George
   Gus Icon.png Gus
   Haley Icon.png Haley
   Harvey Icon.png Harvey
   Jas Icon.png Jas
   Kent Icon.png Kent
   Leah Icon.png Leah
   Linus Icon.png Linus
   Pam Icon.png Pam
   Pierre Icon.png Pierre
   Vincent Icon.png Vincent
Neutral 	
Abigail Icon.png Abigail
   Alex Icon.png Alex
   Clint Icon.png Clint
   Demetrius Icon.png Demetrius
   Lewis Icon.png Lewis
   Marnie Icon.png Marnie
   Maru Icon.png Maru
   Penny Icon.png Penny
   Robin Icon.png Robin
Dislike 	
Dwarf Icon.png Dwarf
   Elliott Icon.png Elliott
   Krobus Icon.png Krobus
   Sam Icon.png Sam
   Sebastian Icon.png Sebastian
   Shane Icon.png Shane
   Willy Icon.png Willy
   Wizard Icon.png Wizard
Hate 	
Jodi Icon.png Jodi
